pais,codigo_iso,anio,tipo_ganado,cabezas_ganado,produccion_carne_ton,produccion_leche_lt,emisiones_ch4_ton_co2eq,intensidad_emisiones,eficiencia_carne,flag_emision_extrema,flag_eficiencia_anomala,flag_leche_no_aplica,temperatura_promedio,temperatura_maxima,temperatura_minima,precipitacion_total,humedad_relativa_promedio,dias_con_heladas,meses_estres_hidrico,indice_aridez,n_eventos_total_regiones,ev_granizo,ev_helada_tardia,ev_incendios,ev_inundacion,ev_ola_calor,ev_sequia_extrema,ev_sequia_moderada,ev_sequia_severa,ev_tormenta_severa,flag_anio_eventos_extremos,tiene_subsidio_activo,reg_bienestar_animal,reg_deforestacion,reg_emisiones_ganaderas,reg_etanol_mezcla,reg_pesticidas_neonicotinoides,reg_reservas_legales,reg_rotacion_cultivos,reg_uso_agua,acuerdo_Acuerdo_Mercosur,acuerdo_Acuerdo_Paris,acuerdo_Convenio_Biodiversidad,acuerdo_ODS_2030,acuerdo_Protocolo_Kyoto,acuerdo_TLCAN,objetivo_reduccion_emisiones_pct,flag_sin_clima,precio_referencia_usd,ingreso_bruto_usd,margen_pct,beneficio_neto_usd
Argentina,ARG,2011,bovino,18160590,1857394,2355425160.0,1121740,0.062,0.1023,0,0,0,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,4090.08,7596890051.5199995,0.1,759689005.152
Argentina,ARG,2011,porcino,13481224,1528896,,1984357,0.147,0.1134,0,0,1,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,2519.86,3852603874.5600004,0.1,385260387.4560001
Argentina,ARG,2011,avicola,979196737,1290153,,10160819,0.01,0.0013,0,0,1,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1600.0,2064244800.0,0.1,206424480.0
Argentina,ARG,2011,ovino,13789178,477282,329191349.0,5061273,0.367,0.0346,0,0,1,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,4500.0,2147769000.0,0.1,214776900.0
Argentina,ARG,2011,caprino,2045715,345732,454558689.0,284966,0.139,0.169,0,0,0,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,4200.0,1452074400.0,0.13,188769672.0
Argentina,ARG,2012,bovino,16274211,2481380,5234719650.0,2122329,0.13,0.1525,0,0,0,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,4090.08,10149042710.4,0.13,1319375552.352
Argentina,ARG,2012,porcino,4456499,3268435,,7561616,1.697,0.7334,0,0,1,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,2519.86,8235998619.1,0.13,1070679820.483
Argentina,ARG,2012,avicola,291021486,2019646,,23100170,0.079,0.0069,0,0,1,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,1600.0,3231433600.0,0.1,323143360.0
Argentina,ARG,2012,ovino,18365917,112058,434565072.0,7450288,0.406,0.0061,0,0,1,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,4500.0,504261000.0,0.1,50426100.0
Argentina,ARG,2012,caprino,8904812,109883,306627430.0,6612691,0.743,0.0123,0,0,0,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,4200.0,461508600.0,0.1,46150860.0
Argentina,ARG,2013,bovino,15892202,3543044,1521265099.0,31826900,2.003,0.2229,0,0,0,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4090.08,14491333403.52,0.13,1883873342.4576
Argentina,ARG,2013,porcino,7351492,2260825,,4020380,0.547,0.3075,0,0,1,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,2519.86,5696962484.5,0.13,740605122.985
Argentina,ARG,2013,avicola,198390904,517709,,20992115,0.106,0.0026,0,0,1,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,1600.0,828334400.0,0.1,82833440.0
Argentina,ARG,2013,ovino,6134828,346281,152210080.0,455445,0.074,0.0564,0,0,1,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4500.0,1558264500.0,0.1,155826450.0
Argentina,ARG,2013,caprino,5744772,414209,202176158.0,3106121,0.541,0.0721,0,0,0,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4200.0,1739677800.0,0.1,173967780.0
Argentina,ARG,2014,bovino,7036760,4373759,6450940482.0,53414726,7.591,0.6216,1,0,0,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4090.08,17889024210.72,0.1,1788902421.0720003
Argentina,ARG,2014,porcino,4362933,2608156,,3165929,0.726,0.5978,0,0,1,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,2519.86,6572187978.160001,0.13,854384437.1608001
Argentina,ARG,2014,avicola,824219637,118352,,20158336,0.024,0.0001,0,0,1,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,1600.0,189363200.0,0.1,18936320.0
Argentina,ARG,2014,ovino,14753516,18091,67393705.0,373400,0.025,0.0012,0,0,1,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4500.0,81409500.0,0.1,8140950.0
Argentina,ARG,2014,caprino,1510012,73924,132665194.0,1494917,0.99,0.049,0,0,0,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4200.0,310480800.0,0.1,31048080.0
Argentina,ARG,2015,bovino,50340284,190625,3972229187.0,43677142,0.868,0.0038,0,0,0,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4090.08,779671500.0,0.1,77967150.0
Argentina,ARG,2015,porcino,11259045,433446,,3698782,0.329,0.0385,0,0,1,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,2519.86,1092223237.56,0.1,109222323.756
Argentina,ARG,2015,avicola,979770973,1536055,,19085897,0.019,0.0016,0,0,1,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,1600.0,2457688000.0,0.1,245768800.0
Argentina,ARG,2015,ovino,10213007,176325,253372859.0,2653046,0.26,0.0173,0,0,1,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4500.0,793462500.0,0.1,79346250.0
Argentina,ARG,2015,caprino,17270152,347361,135609496.0,8707273,0.504,0.0201,0,0,0,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4200.0,1458916200.0,0.1,145891620.0
Argentina,ARG,2016,bovino,4381607,1002516,7289921981.0,8660966,1.977,0.2288,0,0,0,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4090.08,4100370641.2799997,0.13,533048183.3664
Argentina,ARG,2016,porcino,18674060,898989,,673119,0.036,0.0481,0,0,1,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,2519.86,2265326421.54,0.1,226532642.154
Argentina,ARG,2016,avicola,27911119,599881,,15985408,0.573,0.0215,0,0,1,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,1600.0,959809600.0,0.1,95980960.0
Argentina,ARG,2016,ovino,15460730,452712,200006295.0,5051423,0.327,0.0293,0,0,1,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4500.0,2037204000.0,0.1,203720400.0
