pais,codigo_iso,region,anio,temperatura_promedio,temperatura_maxima,temperatura_minima,precipitacion_total,humedad_relativa_promedio,dias_con_heladas,meses_estres_hidrico,indice_aridez,eventos_str,n_eventos,ev_granizo,ev_helada_tardia,ev_incendios,ev_inundacion,ev_ola_calor,ev_sequia_extrema,ev_sequia_moderada,ev_sequia_severa,ev_tormenta_severa
Argentina,ARG,Pampa Húmeda,2011,16.9,22.3,3.6,1050,64,19,1,17.26,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Pampa Húmeda,2012,18.7,25.8,6.7,518,72,70,5,7.69,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Pampa Húmeda,2013,21.2,31.4,9.9,1390,70,17,0,18.21,ola_calor|sequia_moderada,2,0,0,0,0,1,0,1,0,0
Argentina,ARG,Pampa Húmeda,2014,17.2,29.2,5.9,731,40,20,5,11.81,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Pampa Húmeda,2015,16.8,23.4,6.3,589,41,56,5,9.74,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Pampa Húmeda,2016,22.4,29.9,13.7,825,61,61,1,10.23,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Pampa Húmeda,2017,21.6,27.7,12.3,759,57,73,7,9.76,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Pampa Húmeda,2018,16.0,30.4,9.0,390,76,96,11,6.77,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Pampa Húmeda,2019,13.0,22.0,3.4,900,82,18,3,19.23,helada_tardia,1,0,1,0,0,0,0,0,0,0
Argentina,ARG,Pampa Húmeda,2020,12.4,18.3,5.0,442,83,71,9,9.9,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2011,22.6,34.6,8.5,702,82,48,6,8.63,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2012,23.3,37.3,10.1,961,67,76,2,11.46,granizo,1,1,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2013,15.9,29.8,9.1,423,55,47,7,7.39,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2014,13.9,25.4,7.5,937,52,5,0,18.73,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2015,12.7,20.8,0.9,873,70,4,2,19.09,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2016,13.0,22.6,7.2,1387,83,93,0,29.64,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2017,12.4,22.5,0.5,1074,40,62,4,24.06,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2018,19.6,30.6,6.6,907,68,64,0,12.85,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2019,15.1,29.9,4.8,880,64,111,1,16.19,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Cuyo,2020,19.6,29.7,8.5,563,69,55,4,7.98,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Patagonia,2011,9.6,21.5,2.1,635,61,86,7,18.37,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Patagonia,2012,14.6,24.1,6.6,1118,42,76,0,21.27,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Patagonia,2013,11.8,23.1,2.5,1129,57,44,1,26.58,sequia_severa|sequia_extrema|helada_tardia,3,0,1,0,0,0,1,0,1,0
Argentina,ARG,Patagonia,2014,23.8,34.5,18.4,1273,60,47,4,14.86,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Patagonia,2015,11.2,20.4,6.0,1160,56,92,2,28.77,sequia_severa|helada_tardia|incendios,3,0,1,1,0,0,0,0,1,0
Argentina,ARG,Patagonia,2016,20.8,32.0,10.4,1323,55,88,2,17.67,ola_calor,1,0,0,0,0,1,0,0,0,0
Argentina,ARG,Patagonia,2017,21.9,29.7,10.2,827,78,51,1,10.49,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Patagonia,2018,23.0,32.6,10.1,1072,80,40,2,12.95,sequia_extrema|ola_calor,2,0,0,0,0,1,1,0,0,0
Argentina,ARG,Patagonia,2019,12.1,25.4,1.2,506,80,76,7,11.62,ninguno,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,Patagonia,2020,16.2,29.4,9.7,617,71,26,5,10.58,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Cerrado,2011,17.7,32.4,6.4,484,75,44,10,7.6,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Cerrado,2012,11.3,23.0,6.0,1103,79,74,3,27.11,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Cerrado,2013,12.3,21.1,1.9,865,64,77,1,19.53,tormenta_severa|incendios,2,0,0,1,0,0,0,0,0,1
Brasil,BRA,Cerrado,2014,23.9,36.7,11.6,396,65,70,12,4.6,sequia_extrema|tormenta_severa,2,0,0,0,0,0,1,0,0,1
Brasil,BRA,Cerrado,2015,15.9,27.2,4.3,1249,83,81,2,21.82,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Cerrado,2016,21.5,34.1,13.6,651,68,20,6,8.41,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Cerrado,2017,23.2,34.8,11.4,519,46,49,6,6.21,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Cerrado,2018,18.5,29.7,3.5,701,78,73,7,10.53,sequia_extrema,1,0,0,0,0,0,1,0,0,0
Brasil,BRA,Cerrado,2019,20.5,32.3,6.0,1291,41,95,3,17.49,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Cerrado,2020,18.7,30.9,11.3,1253,70,119,2,18.61,incendios,1,0,0,1,0,0,0,0,0,0
Brasil,BRA,Amazonía,2011,19.6,30.6,4.7,445,51,59,11,6.31,incendios|tormenta_severa|sequia_severa,3,0,0,1,0,0,0,0,1,1
Brasil,BRA,Amazonía,2012,17.8,25.2,5.6,404,44,0,7,6.3,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Amazonía,2013,20.9,26.6,11.7,1127,56,113,3,14.98,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Amazonía,2014,21.6,31.0,8.3,471,43,37,6,6.06,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Amazonía,2015,22.9,34.2,13.5,1055,47,13,4,12.8,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Amazonía,2016,13.2,24.8,6.8,677,55,101,6,14.25,helada_tardia,1,0,1,0,0,0,0,0,0,0
