pais,codigo_iso,region,cultivo,anio,superficie_hectareas,rendimiento_ton_ha,produccion_ton,fertilizantes_kg_ha,agua_riego_m3_ha,tendencia_5_anios,temperatura_promedio,temperatura_maxima,temperatura_minima,precipitacion_total,humedad_relativa_promedio,dias_con_heladas,meses_estres_hidrico,indice_aridez,n_eventos_total_regiones,ev_granizo,ev_helada_tardia,ev_incendios,ev_inundacion,ev_ola_calor,ev_sequia_extrema,ev_sequia_moderada,ev_sequia_severa,ev_tormenta_severa,flag_anio_eventos_extremos,tiene_subsidio_activo,reg_bienestar_animal,reg_deforestacion,reg_emisiones_ganaderas,reg_etanol_mezcla,reg_pesticidas_neonicotinoides,reg_reservas_legales,reg_rotacion_cultivos,reg_uso_agua,acuerdo_Acuerdo_Mercosur,acuerdo_Acuerdo_Paris,acuerdo_Convenio_Biodiversidad,acuerdo_ODS_2030,acuerdo_Protocolo_Kyoto,acuerdo_TLCAN,objetivo_reduccion_emisiones_pct,precio_hist_medio_usd,precio_hist_max_usd,precio_hist_volatilidad,flag_sin_clima,flag_sin_precio_historico
Argentina,ARG,América del Sur,Soja,2011,4703643,2.22,10465461,105,4811,0.0005355288103362,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.72,627.89,61.57,0,0
Argentina,ARG,América del Sur,Maíz,2011,3371781,8.45,28485921,164,5557,0.0309430456677826,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.47,225.88,18.42,0,0
Argentina,ARG,América del Sur,Cebada,2011,1661577,2.77,4596917,105,6514,-0.0397789723480151,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Té,2011,188518,3.07,577886,236,8527,0.00362280914547,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Algodón,2011,1638327,1.18,1929756,276,6925,0.0077352145256762,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Girasol,2011,400408,3.59,1436089,268,4814,0.0366483666755269,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Café,2011,238479,1.61,384031,103,5374,0.0201820313458551,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Trigo,2011,627742,5.25,3294702,91,8573,-0.0120544558242352,16.37,26.13,4.73,795.67,69.0,51.0,4.67,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.21,334.05,15.92,0,0
Argentina,ARG,América del Sur,Soja,2012,5742860,3.26,18722616,246,1916,-0.0270951928035895,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.72,627.89,61.57,0,0
Argentina,ARG,América del Sur,Maíz,2012,5195860,5.4,28032958,195,6155,-0.0287373455945859,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.47,225.88,18.42,0,0
