codigo_pais,nombre_pais,nombre_acuerdo,firmado,anio_firma,objetivo_reduccion_emisiones,metas_agricolas_sostenibles
ARG,Argentina,Convenio_Biodiversidad,False,,,
BRA,Brasil,Protocolo_Kyoto,True,2009,,
BRA,Brasil,Acuerdo_Mercosur,True,2006,,
BRA,Brasil,Convenio_Biodiversidad,False,,,
USA,Estados Unidos,Acuerdo_Mercosur,True,2018,,
USA,Estados Unidos,Protocolo_Kyoto,True,2020,,
IND,India,Convenio_Biodiversidad,False,,,
IND,India,Acuerdo_Mercosur,True,2004,,
CHN,China,Acuerdo_Mercosur,True,1999,,
FRA,Francia,Convenio_Biodiversidad,False,,,
FRA,Francia,Acuerdo_Mercosur,False,,,
FRA,Francia,ODS_2030,True,2019,,5.0
DEU,Alemania,Convenio_Biodiversidad,True,2000,,
DEU,Alemania,Protocolo_Kyoto,True,2010,,
DEU,Alemania,TLCAN,False,,,
AUS,Australia,Acuerdo_Paris,False,,,
AUS,Australia,Convenio_Biodiversidad,True,2005,,
MEX,México,Acuerdo_Paris,True,2014,24.0,
MEX,México,TLCAN,True,2020,,
KEN,Kenia,Protocolo_Kyoto,True,2008,,
NZL,Nueva Zelanda,TLCAN,False,,,
ESP,España,TLCAN,True,2008,,
