codigo_pais,nombre_pais,tipo,anio,monto,moneda,beneficiarios,descripcion
ARG,Argentina,maquinaria,2021,25542386.0,USD,1914,Subsidio para maquinaria
ARG,Argentina,expansion_frontera_agricola,2023,12595066.0,USD,10898,Subsidio para expansion frontera agricola
ARG,Argentina,investigacion_desarrollo,2019,15562206.0,USD,7215,Subsidio para investigacion desarrollo
ARG,Argentina,fertilizantes,2021,32694726.0,USD,10823,Subsidio para fertilizantes
BRA,Brasil,expansion_frontera_agricola,2019,33704977.0,USD,44633,Subsidio para expansion frontera agricola
BRA,Brasil,fertilizantes,2020,8114311.0,USD,5384,Subsidio para fertilizantes
BRA,Brasil,bioenergia,2023,32990812.0,USD,40833,Subsidio para bioenergia
USA,Estados Unidos,bioenergia,2023,9598894.0,USD,25219,Subsidio para bioenergia
USA,Estados Unidos,investigacion_desarrollo,2021,5236246.0,USD,2160,Subsidio para investigacion desarrollo
USA,Estados Unidos,credito_rural,2020,28984435.0,USD,17129,Subsidio para credito rural
IND,India,investigacion_desarrollo,2019,48520114.0,USD,39852,Subsidio para investigacion desarrollo
IND,India,investigacion_desarrollo,2019,17716755.0,USD,33020,Subsidio para investigacion desarrollo
IND,India,investigacion_desarrollo,2021,2301730.0,USD,21542,Subsidio para investigacion desarrollo
CHN,China,seguro_agricola,2020,48775311.0,USD,10377,Subsidio para seguro agricola
CHN,China,bioenergia,2018,32792618.0,USD,17160,Subsidio para bioenergia
CHN,China,seguro_agricola,2023,1204898.0,USD,22444,Subsidio para seguro agricola
FRA,Francia,fertilizantes,2023,14082408.0,EUR,35308,Subsidio para fertilizantes
FRA,Francia,agricultura_organica,2020,17658196.0,EUR,25642,Subsidio para agricultura organica
FRA,Francia,expansion_frontera_agricola,2023,1732427.0,EUR,20541,Subsidio para expansion frontera agricola
FRA,Francia,conservacion_suelos,2019,10667676.0,EUR,20405,Subsidio para conservacion suelos
DEU,Alemania,conservacion_suelos,2019,48398771.0,EUR,40750,Subsidio para conservacion suelos
DEU,Alemania,credito_rural,2020,11932107.0,EUR,39435,Subsidio para credito rural
DEU,Alemania,maquinaria,2020,2137912.0,EUR,9120,Subsidio para maquinaria
AUS,Australia,investigacion_desarrollo,2022,3642845.0,USD,34535,Subsidio para investigacion desarrollo
AUS,Australia,fertilizantes,2023,49135190.0,USD,47770,Subsidio para fertilizantes
AUS,Australia,maquinaria,2021,5286773.0,USD,5449,Subsidio para maquinaria
MEX,México,agricultura_organica,2018,36210634.0,USD,28286,Subsidio para agricultura organica
MEX,México,expansion_frontera_agricola,2023,11400800.0,USD,36920,Subsidio para expansion frontera agricola
MEX,México,riego,2019,31098201.0,USD,11424,Subsidio para riego
KEN,Kenia,agricultura_organica,2020,22672824.0,USD,26396,Subsidio para agricultura organica
KEN,Kenia,expansion_frontera_agricola,2018,35242092.0,USD,19981,Subsidio para expansion frontera agricola
NZL,Nueva Zelanda,agricultura_organica,2019,27654398.0,USD,14944,Subsidio para agricultura organica
NZL,Nueva Zelanda,maquinaria,2022,1493246.0,USD,42135,Subsidio para maquinaria
NZL,Nueva Zelanda,investigacion_desarrollo,2020,18827249.0,USD,37455,Subsidio para investigacion desarrollo
ESP,España,fertilizantes,2021,41491331.0,EUR,43690,Subsidio para fertilizantes
ESP,España,agricultura_organica,2021,14729806.0,EUR,13113,Subsidio para agricultura organica
ESP,España,riego,2018,27001467.0,EUR,7994,Subsidio para riego
