pais,MAE_Lasso,MAE_RF,MAE_XGB,MAE_MLP,n
Argentina,0.814,0.86,0.897,1.227,80
Canadá,0.912,0.953,0.918,0.964,80
India,2.03,3.001,2.782,3.453,80
Francia,2.233,2.039,8.439,3.335,80
Nueva Zelanda,2.247,2.285,9.525,3.731,80
Kenia,2.468,3.201,2.571,4.436,80
Estados Unidos,2.546,3.337,2.793,3.941,80
Italia,2.77,3.568,3.097,2.787,80
México,2.821,4.349,2.911,9.478,80
Alemania,2.824,4.62,3.378,8.045,80
China,2.927,4.463,2.988,3.695,80
España,3.17,3.085,3.246,4.456,80
Brasil,3.494,4.042,3.697,4.55,80
Rusia,4.078,4.422,4.138,4.503,80
Australia,4.137,5.487,4.736,6.448,80
