Modelo,Fold,Países Test,RMSE (t/ha),MAE (t/ha),R²
Lasso,1,"['India', 'Canadá', 'Rusia']",7.2312,2.3401,0.9227
Lasso,2,"['Brasil', 'Francia', 'Nueva Zelanda']",6.8376,2.6578,0.9363
Lasso,3,"['Estados Unidos', 'Australia', 'México']",7.956,3.168,0.928
Lasso,4,"['Argentina', 'Kenia', 'España']",5.7679,2.1507,0.936
Lasso,5,"['China', 'Alemania', 'Italia']",6.9895,2.8403,0.9473
XGB,1,"['India', 'Canadá', 'Rusia']",7.7934,2.6125,0.9103
XGB,2,"['Brasil', 'Francia', 'Nueva Zelanda']",20.0037,7.22,0.4551
XGB,3,"['Estados Unidos', 'Australia', 'México']",8.95,3.4801,0.9089
XGB,4,"['Argentina', 'Kenia', 'España']",6.172,2.2381,0.9267
XGB,5,"['China', 'Alemania', 'Italia']",7.7021,3.1545,0.936
