pais,cultivo,anio,rendimiento_real_t_ha,rendimiento_predicho_t_ha,error_absoluto_t_ha,error_relativo_pct,error_con_signo_t_ha,calidad_prediccion
Argentina,Soja,2011,2.22,2.6917,0.4717,21.25,0.4717,Aceptable (10–25%)
Argentina,Maíz,2011,8.45,6.4873,1.9627,23.23,-1.9627,Aceptable (10–25%)
Argentina,Cebada,2011,2.77,4.093,1.323,47.76,1.323,Mejorable (>25%)
Argentina,Té,2011,3.07,2.4452,0.6248,20.35,-0.6248,Aceptable (10–25%)
Argentina,Algodón,2011,1.18,2.2576,1.0776,91.32,1.0776,Mejorable (>25%)
Argentina,Girasol,2011,3.59,2.4632,1.1268,31.39,-1.1268,Mejorable (>25%)
Argentina,Café,2011,1.61,1.6452,0.0352,2.18,0.0352,Bueno (≤10%)
Argentina,Trigo,2011,5.25,4.5202,0.7298,13.9,-0.7298,Aceptable (10–25%)
Argentina,Soja,2012,3.26,3.2552,0.0048,0.15,-0.0048,Bueno (≤10%)
Argentina,Maíz,2012,5.4,5.5376,0.1376,2.55,0.1376,Bueno (≤10%)
Argentina,Cebada,2012,5.21,4.3721,0.8379,16.08,-0.8379,Aceptable (10–25%)
Argentina,Té,2012,1.84,2.0344,0.1944,10.57,0.1944,Aceptable (10–25%)
Argentina,Algodón,2012,3.14,3.0634,0.0766,2.44,-0.0766,Bueno (≤10%)
Argentina,Girasol,2012,2.32,2.272,0.048,2.07,-0.048,Bueno (≤10%)
Argentina,Café,2012,1.79,1.5553,0.2347,13.11,-0.2347,Aceptable (10–25%)
Argentina,Trigo,2012,8.67,4.9853,3.6847,42.5,-3.6847,Mejorable (>25%)
Argentina,Soja,2013,3.14,2.8081,0.3319,10.57,-0.3319,Aceptable (10–25%)
Argentina,Maíz,2013,4.09,5.5422,1.4522,35.51,1.4522,Mejorable (>25%)
Argentina,Cebada,2013,4.83,4.3268,0.5032,10.42,-0.5032,Aceptable (10–25%)
Argentina,Té,2013,2.53,2.1806,0.3494,13.81,-0.3494,Aceptable (10–25%)
Argentina,Algodón,2013,1.7,2.4517,0.7517,44.22,0.7517,Mejorable (>25%)
Argentina,Girasol,2013,1.41,2.0126,0.6026,42.74,0.6026,Mejorable (>25%)
Argentina,Café,2013,1.76,1.6842,0.0758,4.31,-0.0758,Bueno (≤10%)
Argentina,Trigo,2013,3.17,4.6195,1.4495,45.72,1.4495,Mejorable (>25%)
Argentina,Soja,2014,2.37,2.8418,0.4718,19.91,0.4718,Aceptable (10–25%)
Argentina,Maíz,2014,4.07,5.3108,1.2408,30.49,1.2408,Mejorable (>25%)
Argentina,Cebada,2014,3.35,4.133,0.783,23.37,0.783,Aceptable (10–25%)
Argentina,Té,2014,1.28,2.0607,0.7807,60.99,0.7807,Mejorable (>25%)
Argentina,Algodón,2014,2.44,2.6617,0.2217,9.08,0.2217,Bueno (≤10%)
Argentina,Girasol,2014,2.23,2.1102,0.1198,5.37,-0.1198,Bueno (≤10%)
Argentina,Café,2014,1.81,1.5934,0.2166,11.97,-0.2166,Aceptable (10–25%)
Argentina,Trigo,2014,3.05,4.2617,1.2117,39.73,1.2117,Mejorable (>25%)
Argentina,Soja,2015,3.97,2.9651,1.0049,25.31,-1.0049,Mejorable (>25%)
Argentina,Maíz,2015,5.98,6.0965,0.1165,1.95,0.1165,Bueno (≤10%)
Argentina,Cebada,2015,5.28,4.7618,0.5182,9.81,-0.5182,Bueno (≤10%)
Argentina,Té,2015,2.27,2.1021,0.1679,7.4,-0.1679,Bueno (≤10%)
Argentina,Algodón,2015,2.0,2.4021,0.4021,20.1,0.4021,Aceptable (10–25%)
Argentina,Girasol,2015,1.61,2.1501,0.5401,33.55,0.5401,Mejorable (>25%)
Argentina,Café,2015,2.24,1.7328,0.5072,22.64,-0.5072,Aceptable (10–25%)
Argentina,Trigo,2015,5.09,4.6253,0.4647,9.13,-0.4647,Bueno (≤10%)
Argentina,Soja,2016,2.89,3.0791,0.1891,6.54,0.1891,Bueno (≤10%)
Argentina,Maíz,2016,6.63,6.0403,0.5897,8.89,-0.5897,Bueno (≤10%)
Argentina,Cebada,2016,3.72,3.9904,0.2704,7.27,0.2704,Bueno (≤10%)
