pais,codigo_iso,anio,tipo_ganado,intensidad_emisiones,eficiencia_carne,flag_emision_extrema,cluster_kmeans,cluster_asignado
Argentina,ARG,2011,bovino,0.062,0.1023,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2011,porcino,0.147,0.1134,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2011,avicola,0.01,0.0013,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2011,ovino,0.367,0.0346,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2011,caprino,0.139,0.169,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2012,bovino,0.13,0.1525,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2012,porcino,1.697,0.7334,0,2,Impacto Medio (Mix Ganadero Equilibrado)
Argentina,ARG,2012,avicola,0.079,0.0069,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2012,ovino,0.406,0.0061,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2012,caprino,0.743,0.0123,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2013,bovino,2.003,0.2229,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2013,porcino,0.547,0.3075,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2013,avicola,0.106,0.0026,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2013,ovino,0.074,0.0564,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2013,caprino,0.541,0.0721,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2014,bovino,7.591,0.6216,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Argentina,ARG,2014,porcino,0.726,0.5978,0,2,Impacto Medio (Mix Ganadero Equilibrado)
Argentina,ARG,2014,avicola,0.024,0.0001,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2014,ovino,0.025,0.0012,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2014,caprino,0.99,0.049,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2015,bovino,0.868,0.0038,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2015,porcino,0.329,0.0385,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2015,avicola,0.019,0.0016,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2015,ovino,0.26,0.0173,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2015,caprino,0.504,0.0201,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2016,bovino,1.977,0.2288,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2016,porcino,0.036,0.0481,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2016,avicola,0.573,0.0215,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2016,ovino,0.327,0.0293,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2016,caprino,0.153,0.0282,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2017,bovino,2.977,0.2304,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Argentina,ARG,2017,porcino,0.56,0.051,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2017,avicola,0.002,0.0003,0,0,Baja Emisión (Dominio Avícola/Ovino)
