pais,codigo_iso,anio,tipo_ganado,cabezas_ganado,produccion_carne_ton,emisiones_ch4_ton_co2eq,intensidad_emisiones,eficiencia_carne,flag_emision_extrema,anomalia_predicha_if,anomaly_score_if,anomalia_predicha_svm,anomaly_score_svm,consensus_anomalia,estado_emision,resultado_validacion
Argentina,ARG,2011,bovino,18160590,1857394,1121740,0.062,0.1023,0,0,0.4337840419566001,0,-6.654951949555492,0,Normal,Verdadero Negativo
Argentina,ARG,2011,porcino,13481224,1528896,1984357,0.147,0.1134,0,0,0.4129737097790028,0,-6.825839006876852,0,Normal,Verdadero Negativo
Argentina,ARG,2011,avicola,979196737,1290153,10160819,0.01,0.0013,0,0,0.42402317451673804,0,-6.62971713252594,0,Normal,Verdadero Negativo
Argentina,ARG,2011,ovino,13789178,477282,5061273,0.367,0.0346,0,0,0.3783204220622559,0,-8.101455900482597,0,Normal,Verdadero Negativo
Argentina,ARG,2011,caprino,2045715,345732,284966,0.139,0.169,0,0,0.47505560453558765,0,-5.139564890282961,0,Normal,Verdadero Negativo
Argentina,ARG,2012,bovino,16274211,2481380,2122329,0.13,0.1525,0,0,0.41086155516314565,0,-7.600555645292207,0,Normal,Verdadero Negativo
Argentina,ARG,2012,porcino,4456499,3268435,7561616,1.697,0.7334,0,0,0.4655846872320475,0,-6.535057652929813,0,Normal,Verdadero Negativo
Argentina,ARG,2012,avicola,291021486,2019646,23100170,0.079,0.0069,0,0,0.42867301721904516,0,-7.023817862355905,0,Normal,Verdadero Negativo
Argentina,ARG,2012,ovino,18365917,112058,7450288,0.406,0.0061,0,0,0.38753976303949234,0,-8.142267433481814,0,Normal,Verdadero Negativo
Argentina,ARG,2012,caprino,8904812,109883,6612691,0.743,0.0123,0,0,0.3825761071869559,0,-8.388614993059075,0,Normal,Verdadero Negativo
Argentina,ARG,2013,bovino,15892202,3543044,31826900,2.003,0.2229,0,0,0.4910336884165028,0,-5.71062724287538,0,Normal,Verdadero Negativo
Argentina,ARG,2013,porcino,7351492,2260825,4020380,0.547,0.3075,0,0,0.474259937600975,0,-5.695235231777373,0,Normal,Verdadero Negativo
Argentina,ARG,2013,avicola,198390904,517709,20992115,0.106,0.0026,0,0,0.47638356958467887,0,-5.818797712571833,0,Normal,Verdadero Negativo
Argentina,ARG,2013,ovino,6134828,346281,455445,0.074,0.0564,0,0,0.4826125411628337,1,-4.763520296684162,0,Normal,Verdadero Negativo
Argentina,ARG,2013,caprino,5744772,414209,3106121,0.541,0.0721,0,0,0.43950155937657687,0,-6.626589728832227,0,Normal,Verdadero Negativo
Argentina,ARG,2014,bovino,7036760,4373759,53414726,7.591,0.6216,1,1,0.5552469542459061,1,-4.763181375823387,1,Anomalía detectada,Verdadero Positivo
Argentina,ARG,2014,porcino,4362933,2608156,3165929,0.726,0.5978,0,0,0.45154678186512576,0,-6.250881854726811,0,Normal,Verdadero Negativo
Argentina,ARG,2014,avicola,824219637,118352,20158336,0.024,0.0001,0,0,0.43998212957727934,0,-5.413784163478864,0,Normal,Verdadero Negativo
Argentina,ARG,2014,ovino,14753516,18091,373400,0.025,0.0012,0,0,0.4703855825615112,0,-4.81997884240427,0,Normal,Verdadero Negativo
Argentina,ARG,2014,caprino,1510012,73924,1494917,0.99,0.049,0,0,0.4501161456396937,0,-6.404054426059766,0,Normal,Verdadero Negativo
Argentina,ARG,2015,bovino,50340284,190625,43677142,0.868,0.0038,0,0,0.45553709174407314,0,-6.07508829784851,0,Normal,Verdadero Negativo
Argentina,ARG,2015,porcino,11259045,433446,3698782,0.329,0.0385,0,0,0.42367797901612964,0,-6.869695487026504,0,Normal,Verdadero Negativo
Argentina,ARG,2015,avicola,979770973,1536055,19085897,0.019,0.0016,0,0,0.4566311705004235,0,-5.802854846301094,0,Normal,Verdadero Negativo
Argentina,ARG,2015,ovino,10213007,176325,2653046,0.26,0.0173,0,0,0.4251405579654117,0,-7.109024391129491,0,Normal,Verdadero Negativo
Argentina,ARG,2015,caprino,17270152,347361,8707273,0.504,0.0201,0,0,0.40344193551017465,0,-7.760174795522349,0,Normal,Verdadero Negativo
Argentina,ARG,2016,bovino,4381607,1002516,8660966,1.977,0.2288,0,0,0.44155487891064765,0,-8.284454363940208,0,Normal,Verdadero Negativo
Argentina,ARG,2016,porcino,18674060,898989,673119,0.036,0.0481,0,0,0.4507947690926234,0,-6.358847100922115,0,Normal,Verdadero Negativo
