imagen_id,pais,region,anio,mes,indice_ndvi_promedio,indice_ndvi_min,indice_ndvi_max,indice_evi,humedad_suelo_estimada,cobertura_nubes,flag_ndvi_anomalo,anomalia_predicha_zscore,zscore_valor,anomalia_predicha_ae,reconstruction_error,consensus_anomalia,estado_ndvi,resultado_validacion
SAT_IND_202102_020,India,Coastal,2021,2,0.539,0.402,0.667,0.619,0.687,0.138,0,0,-0.8646309676161971,0,0.29156817712081023,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202103_021,Australia,Tasmania,2021,3,0.629,0.523,0.668,0.692,0.513,0.228,0,0,-0.1946867998707142,0,0.33489834536544644,0,Vegetación normal,Verdadero Negativo
SAT_IND_202104_023,India,Coastal,2021,4,0.848,0.567,1.039,1.081,0.764,0.036,1,0,1.055081148540576,0,0.5819252528798573,0,Vegetación normal,Falso Negativo
SAT_IND_202108_028,India,Ganges,2021,8,0.78,0.576,0.894,0.935,0.767,0.139,0,0,0.6326202297746845,0,0.1765959188549757,0,Vegetación normal,Verdadero Negativo
SAT_IND_202109_030,India,Punjab,2021,9,0.646,0.408,0.68,0.717,0.669,0.087,0,0,-0.19987628661692608,0,0.2757751519805226,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202111_032,Australia,Queensland Coast,2021,11,0.361,0.274,0.418,0.428,0.21,0.184,0,1,-1.6586616137133459,1,1.0629833950072867,1,Anomalía NDVI detectada,Falso Positivo
SAT_AUS_202112_034,Australia,Tasmania,2021,12,0.471,0.394,0.504,0.53,0.368,0.186,0,0,-1.0577764289271911,1,0.8836495070042898,0,Anomalía NDVI detectada,Falso Positivo
SAT_AUS_202202_037,Australia,Queensland Coast,2022,2,0.348,0.223,0.381,0.426,0.397,0.145,0,1,-1.7296753173698916,1,1.072585018308858,1,Anomalía NDVI detectada,Falso Positivo
SAT_AUS_202203_038,Australia,Tasmania,2022,3,0.498,0.379,0.531,0.624,0.219,0.126,0,0,-0.9102864290251349,0,0.7767743323666605,0,Vegetación normal,Verdadero Negativo
SAT_IND_202208_046,India,Coastal,2022,8,0.798,0.511,0.988,1.024,0.612,0.154,0,0,0.7444481200362442,0,0.23965472687117625,0,Vegetación normal,Verdadero Negativo
SAT_IND_202209_048,India,Ganges,2022,9,0.817,0.56,0.926,1.059,0.617,0.057,0,0,0.8624886708678899,0,0.5259876219388869,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202212_054,Australia,Tasmania,2022,12,0.699,0.443,0.791,0.822,0.498,0.228,0,0,0.1876946813568386,0,0.42694163994974954,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202305_060,Australia,Queensland Coast,2023,5,0.798,0.531,0.882,0.929,0.777,0.041,0,0,0.7284913476643784,0,0.2879009451370003,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202311_070,Australia,Murray-Darling Basin,2023,11,0.517,0.342,0.543,0.571,0.43,0.056,0,0,-0.806497169834799,0,0.5342690972745177,0,Vegetación normal,Verdadero Negativo
SAT_IND_202312_071,India,Ganges,2023,12,0.64,0.407,0.763,0.721,0.544,0.236,0,0,-0.237152250037446,0,0.49689952439476637,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202405_079,Australia,Murray-Darling Basin,2024,5,0.878,0.624,0.958,0.971,0.616,0.114,0,0,1.1654987547815816,0,0.5652153803693061,0,Vegetación normal,Verdadero Negativo
SAT_IND_202406_082,India,Coastal,2024,6,0.657,0.478,0.819,0.776,0.654,0.243,0,0,-0.13153702034597292,0,0.6229737014913073,0,Vegetación normal,Verdadero Negativo
SAT_IND_202409_085,India,Ganges,2024,9,0.847,0.672,0.963,1.097,0.638,0.224,0,0,1.0488684879704895,0,0.7999242207603734,0,Vegetación normal,Verdadero Negativo
