pais,cultivo,rank_recomendacion,score_final,es_top3,rendimiento_predicho_log,rendimiento_predicho_ton,tasa_plaga,penalizacion_plaga,precio_norm,bonus_precio,rendimiento_real_log,rendimiento_real_ton,error_prediccion_log,dias_con_heladas,temperatura_promedio,precipitacion_total,indice_aridez,alpha_usado,beta_usado,modelo,riesgo_plaga_categoria,rentabilidad_categoria,zona_climatica
Alemania,Caña de azúcar,1,4.3829,True,4.4829,87.49,0.2,0.1,0.0,0.0,4.5876,,-0.1047,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Bajo,Baja,Templado
Alemania,Maíz,2,1.9497,True,2.0452,6.73,0.4,0.2,0.523,0.1045,2.0987,,-0.0535,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Medio,Media,Templado
Alemania,Trigo,3,1.8069,True,1.7069,4.51,0.2,0.1,1.0,0.2,1.7054,,0.0015,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Bajo,Alta,Templado
Alemania,Cebada,4,1.6166,False,1.6166,4.04,0.0,0.0,0.0,0.0,1.6034,,0.0132,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Bajo,Baja,Templado
Alemania,Soja,5,1.5838,False,1.5737,3.82,0.2,0.1,0.55,0.1101,1.5511,,0.0226,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Bajo,Media,Templado
Alemania,Arroz,6,1.44,False,1.84,5.3,0.8,0.4,0.0,0.0,,,,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Alto,Baja,Templado
Alemania,Algodón,7,1.1333,False,1.2333,2.43,0.2,0.1,0.0,0.0,,,,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Bajo,Baja,Templado
Alemania,Girasol,8,1.1188,False,1.2188,2.38,0.2,0.1,0.0,0.0,1.2671,,-0.0483,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Bajo,Baja,Templado
Alemania,Té,9,1.0504,False,1.1504,2.16,0.2,0.1,0.0,0.0,1.2234,,-0.073,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Bajo,Baja,Templado
Alemania,Café,10,0.605,False,0.805,1.24,0.4,0.2,0.0,0.0,0.9107,,-0.1057,65.1,15.8,845.9,15.509,0.5,0.2,XGBoost,Medio,Baja,Templado
Argentina,Caña de azúcar,1,4.1536,True,4.4536,84.94,0.6,0.3,0.0,0.0,,,,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Medio,Baja,Templado
Argentina,Maíz,2,2.0392,True,1.9425,5.98,0.0,0.0,0.484,0.0967,1.9126,,0.0299,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Bajo,Media,Templado
Argentina,Arroz,3,1.8047,True,1.9047,5.72,0.2,0.1,0.0,0.0,,,,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Bajo,Baja,Templado
Argentina,Trigo,4,1.8004,False,1.7147,4.56,0.2,0.1,0.928,0.1857,1.7463,,-0.0316,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Bajo,Alta,Templado
Argentina,Cebada,5,1.526,False,1.526,3.6,0.0,0.0,0.0,0.0,1.6792,,-0.1532,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Bajo,Baja,Templado
Argentina,Soja,6,1.4333,False,1.4621,3.32,0.2,0.1,0.356,0.0713,1.4121,,0.05,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Bajo,Media,Templado
Argentina,Algodón,7,1.232,False,1.232,2.43,0.0,0.0,0.0,0.0,1.329,,-0.097,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Bajo,Baja,Templado
Argentina,Té,8,1.1366,False,1.1366,2.12,0.0,0.0,0.0,0.0,1.1389,,-0.0023,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Bajo,Baja,Templado
Argentina,Girasol,9,0.9249,False,1.1249,2.08,0.4,0.2,0.0,0.0,1.145,,-0.0201,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Medio,Baja,Templado
Argentina,Café,10,0.8289,False,0.8289,1.29,0.0,0.0,0.0,0.0,0.9913,,-0.1624,56.4,17.0,865.4,14.992,0.5,0.2,XGBoost,Bajo,Baja,Templado
Australia,Caña de azúcar,1,4.4248,True,4.5248,91.28,0.2,0.1,0.0,0.0,4.5901,,-0.0653,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Bajo,Baja,Templado
Australia,Arroz,2,1.7487,True,1.8421,5.31,0.4,0.2,0.533,0.1065,1.8874,,-0.0453,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Medio,Media,Templado
Australia,Trigo,3,1.5804,True,1.6728,4.33,0.2,0.1,0.038,0.0076,1.7866,,-0.1138,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Bajo,Baja,Templado
Australia,Maíz,4,1.574,False,1.774,4.89,0.8,0.4,1.0,0.2,1.7922,,-0.0182,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Alto,Alta,Templado
Australia,Cebada,5,1.5565,False,1.6565,4.24,0.2,0.1,0.0,0.0,,,,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Bajo,Baja,Templado
Australia,Soja,6,1.3651,False,1.378,2.97,0.2,0.1,0.436,0.0872,1.4132,,-0.0352,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Bajo,Media,Templado
Australia,Algodón,7,1.2314,False,1.3314,2.79,0.2,0.1,0.0,0.0,1.2187,,0.1127,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Bajo,Baja,Templado
Australia,Té,8,1.1685,False,1.1685,2.22,0.0,0.0,0.0,0.0,1.1497,,0.0188,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Bajo,Baja,Templado
Australia,Girasol,9,1.0614,False,1.1614,2.19,0.2,0.1,0.0,0.0,,,,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Bajo,Baja,Templado
Australia,Café,10,0.733,False,0.833,1.3,0.2,0.1,0.0,0.0,0.9158,,-0.0828,65.2,18.3,1035.2,16.815,0.5,0.2,XGBoost,Bajo,Baja,Templado
Brasil,Caña de azúcar,1,4.3075,True,4.4075,81.06,0.2,0.1,0.0,0.0,4.5212,,-0.1137,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Bajo,Baja,Templado
Brasil,Arroz,2,1.7924,True,1.7924,5.0,0.4,0.2,1.0,0.2,1.858,,-0.0656,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Medio,Alta,Templado
Brasil,Soja,3,1.6927,True,1.4927,3.45,0.0,0.0,1.0,0.2,1.5556,,-0.0629,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Bajo,Alta,Templado
Brasil,Maíz,4,1.5797,False,1.8797,5.55,0.6,0.3,0.0,0.0,,,,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Medio,Baja,Templado
Brasil,Cebada,5,1.5512,False,1.6512,4.21,0.2,0.1,0.0,0.0,1.7319,,-0.0807,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Bajo,Baja,Templado
Brasil,Trigo,6,1.517,False,1.717,4.57,0.4,0.2,0.0,0.0,,,,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Medio,Baja,Templado
Brasil,Algodón,7,1.1843,False,1.2843,2.61,0.2,0.1,0.0,0.0,1.3225,,-0.0382,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Bajo,Baja,Templado
Brasil,Girasol,8,1.141,False,1.141,2.13,0.0,0.0,0.0,0.0,1.2058,,-0.0648,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Bajo,Baja,Templado
Brasil,Té,9,1.1285,False,1.1285,2.09,0.0,0.0,0.0,0.0,1.069,,0.0595,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Bajo,Baja,Templado
Brasil,Café,10,0.7495,False,0.8495,1.34,0.2,0.1,0.0,0.0,0.911,,-0.0615,61.3,18.5,785.7,12.469,0.5,0.2,XGBoost,Bajo,Baja,Templado
China,Caña de azúcar,1,4.3602,True,4.4602,85.5,0.2,0.1,0.0,0.0,4.4461,,0.0141,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Bajo,Baja,Templado
China,Trigo,2,1.9794,True,1.8999,5.69,0.2,0.1,0.898,0.1795,1.7641,,0.1358,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Bajo,Alta,Templado
China,Maíz,3,1.6643,True,1.9643,6.13,0.6,0.3,0.0,0.0,,,,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Medio,Baja,Templado
China,Arroz,4,1.66,False,1.8922,5.63,0.6,0.3,0.339,0.0678,1.9036,,-0.0114,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Medio,Media,Templado
China,Cebada,5,1.5842,False,1.6842,4.39,0.2,0.1,0.0,0.0,1.6944,,-0.0102,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Bajo,Baja,Templado
China,Soja,6,1.5278,False,1.5233,3.59,0.2,0.1,0.522,0.1045,1.4586,,0.0647,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Bajo,Media,Templado
China,Girasol,7,1.1795,False,1.1795,2.25,0.0,0.0,0.0,0.0,1.2362,,-0.0567,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Bajo,Baja,Templado
China,Algodón,8,1.1112,False,1.2112,2.36,0.2,0.1,0.0,0.0,,,,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Bajo,Baja,Templado
China,Té,9,0.8714,False,1.0714,1.92,0.4,0.2,0.0,0.0,1.1158,,-0.0444,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Medio,Baja,Templado
China,Café,10,0.5004,False,0.8004,1.23,0.6,0.3,0.0,0.0,0.7499,,0.0505,37.0,17.9,814.9,14.152,0.5,0.2,XGBoost,Medio,Baja,Templado
Estados Unidos,Caña de azúcar,1,4.603,True,4.703,109.28,0.2,0.1,0.0,0.0,4.3961,,0.3069,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Bajo,Baja,Templado
Estados Unidos,Maíz,2,1.9443,True,2.0269,6.59,0.4,0.2,0.587,0.1174,2.1494,,-0.1225,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Medio,Media,Templado
Estados Unidos,Trigo,3,1.8755,True,1.7759,4.91,0.0,0.0,0.498,0.0997,1.7072,,0.0687,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Bajo,Media,Templado
Estados Unidos,Cebada,4,1.5047,False,1.7047,4.5,0.4,0.2,0.0,0.0,1.6522,,0.0525,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Medio,Baja,Templado
